epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,21715,1.39814,0.84023,0.96279,0.65475,0.40376,0.43521,0.2389,1.32782,0.75349,0.93589,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,22219.6,1.39859,0.83824,0.96232,0.64872,0.40734,0.43621,0.23943,1.32741,0.75276,0.9356,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,22725.8,1.39819,0.83663,0.96131,0.65315,0.40656,0.43669,0.23975,1.32694,0.75191,0.93531,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,23232,1.39473,0.83484,0.96064,0.65533,0.40752,0.43714,0.24012,1.32642,0.75121,0.93503,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,23736,1.39526,0.83439,0.9602,0.65757,0.40679,0.43761,0.24065,1.32596,0.75063,0.93474,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,24241,1.39264,0.83359,0.96103,0.65953,0.40656,0.4383,0.24106,1.3255,0.75,0.93454,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,24745.6,1.39297,0.8325,0.9607,0.66204,0.40494,0.43872,0.24137,1.32493,0.74935,0.93432,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,25250.8,1.39037,0.8299,0.95979,0.66957,0.40193,0.43921,0.24186,1.32439,0.74879,0.93409,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,25756.1,1.3892,0.82865,0.95952,0.66904,0.40313,0.44011,0.24203,1.32386,0.74823,0.93377,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,26261.1,1.38978,0.82941,0.95979,0.66912,0.40347,0.44057,0.24234,1.32335,0.74758,0.93355,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,26765.3,1.38785,0.82813,0.9586,0.66744,0.40393,0.44066,0.24245,1.32287,0.74692,0.93336,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,27272.9,1.38863,0.82699,0.95878,0.66945,0.40307,0.44176,0.24295,1.32225,0.74632,0.93307,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,27779.7,1.3874,0.82592,0.95727,0.66592,0.40596,0.44203,0.24313,1.32168,0.74575,0.93278,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
